Product Name,Shopify URL,Search in Admin,Status,Suggested Tags
""Tortoise" 2000s Anne Klein Frame","https://azyrspecs.com/products/1990s-anne-klein-eyeglasses","https://azyrspecs.com/admin/search?q=%22Tortoise%22%202000s%20Anne%20Klein%20Frame","NEEDS TAGGING","style:round | style:square | material:acetate | vibe:modern | vibe:luxury | vibe:classic | lens:rx | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart | face_shape:square | face_shape:heart | face_shape:oval"
"“Violet Fade” 1990s Marni Eyeglasses","https://azyrspecs.com/products/1990s-marni-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CViolet%20Fade%E2%80%9D%201990s%20Marni%20Eyeglasses","NEEDS TAGGING","style:square | material:acetate | vibe:retro | vibe:modern | vibe:luxury | vibe:edgy | vibe:classic | lens:rx | lens:tinted | lens:custom | face_shape:oval | face_shape:round | face_shape:heart | face_shape:square | face_shape:heart | face_shape:oval"
"“Pink Mirage” 2000s Paco Rabanne Sunglasses","https://azyrspecs.com/products/2000s-paco-rabanne-sunglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CPink%20Mirage%E2%80%9D%202000s%20Paco%20Rabanne%20Sunglasses","NEEDS TAGGING","material:wire | vibe:retro | vibe:luxury | vibe:edgy | face_shape:oval | face_shape:heart | face_shape:square"
"“Crimson Muse” 1980s Oliver Peoples Eyeglasses","https://azyrspecs.com/products/1980s-oliver-peoples-eyeglasses","https://azyrspecs.com/admin/search?q=%E2%80%9CCrimson%20Muse%E2%80%9D%201980s%20Oliver%20Peoples%20Eyeglasses","NEEDS TAGGING","style:cat_eye | material:wire | material:acetate | vibe:retro | vibe:luxury | lens:rx | lens:tinted | face_shape:square | face_shape:heart | face_shape:oval"
""Rosewood" 1980s Dunhill Pink Sunglasses","https://azyrspecs.com/products/rosewood-1980s-dunhill-pink-sunglasses","https://azyrspecs.com/admin/search?q=%22Rosewood%22%201980s%20Dunhill%20Pink%20Sunglasses","NEEDS TAGGING","style:square | material:acetate | vibe:retro | vibe:modern | vibe:luxury | vibe:edgy | vibe:classic | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
""Orb" 2000s Vivienne Westwood Frames","https://azyrspecs.com/products/orb-2000s-vivienne-westwood-frames","https://azyrspecs.com/admin/search?q=%22Orb%22%202000s%20Vivienne%20Westwood%20Frames","NEEDS TAGGING","style:rectangle | material:acetate | vibe:retro | vibe:luxury | vibe:edgy | lens:rx | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
""Rouge Refine" Chanel Sunglasses","https://azyrspecs.com/products/rouge-refine-chanel-sunglasses","https://azyrspecs.com/admin/search?q=%22Rouge%20Refine%22%20Chanel%20Sunglasses","NEEDS TAGGING","style:rectangle | vibe:retro | vibe:luxury | vibe:edgy | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
""Noir Icon" 1990s Dior Sunglasses","https://azyrspecs.com/products/1980s-dior-shield","https://azyrspecs.com/admin/search?q=%22Noir%20Icon%22%201990s%20Dior%20Sunglasses","NEEDS TAGGING","vibe:retro | vibe:luxury | vibe:edgy | vibe:trendy | face_shape:oval | face_shape:heart | face_shape:square"
""Obsidian Charm" 1980s Missoni Sunglasses","https://azyrspecs.com/products/1980s-missoni","https://azyrspecs.com/admin/search?q=%22Obsidian%20Charm%22%201980s%20Missoni%20Sunglasses","NEEDS TAGGING","material:wire | vibe:retro | vibe:luxury | vibe:edgy | face_shape:oval | face_shape:oval | face_shape:round | face_shape:heart"
""Chrome Eyes" 1990s Jean Paul Gaultier Eyeglasses","https://azyrspecs.com/products/chrome-eyes-1990s-jean-paul-gaultier","https://azyrspecs.com/admin/search?q=%22Chrome%20Eyes%22%201990s%20Jean%20Paul%20Gaultier%20Eyeglasses","NEEDS TAGGING","style:rectangle | vibe:retro | vibe:modern | vibe:luxury | vibe:classic | face_shape:oval | face_shape:round | face_shape:heart"
""Sly" 1980s Gucci Sunglasses","https://azyrspecs.com/products/sly-1980s-gucci-sunglasses","https://azyrspecs.com/admin/search?q=%22Sly%22%201980s%20Gucci%20Sunglasses","NEEDS TAGGING","style:wayfarer | material:wire | vibe:retro | vibe:luxury | vibe:edgy | lens:tinted | face_shape:oval | face_shape:heart | face_shape:square"
""Nodded" 1980s Hugo Boss x Carrera Sunglasses","https://azyrspecs.com/products/nodded-1980s-hugo-boss-x-carrera-sunglasses","https://azyrspecs.com/admin/search?q=%22Nodded%22%201980s%20Hugo%20Boss%20x%20Carrera%20Sunglasses","NEEDS TAGGING","material:acetate | vibe:retro | vibe:modern | vibe:luxury | vibe:edgy | face_shape:oval | face_shape:heart | face_shape:square"
""Steel Shade" 1996s Chrome Hearts Sunglasses","https://azyrspecs.com/products/steel-shade-1996s-chrome-hearts-sunglasses","https://azyrspecs.com/admin/search?q=%22Steel%20Shade%22%201996s%20Chrome%20Hearts%20Sunglasses","NEEDS TAGGING","material:wire | vibe:retro | vibe:luxury | vibe:edgy | face_shape:oval | face_shape:round | face_shape:heart | face_shape:oval | face_shape:square"
""Forest Tint" 1990s Vuarnet Sunglasses","https://azyrspecs.com/products/forest-tint-1990s-vuarnet-sunglasses","https://azyrspecs.com/admin/search?q=%22Forest%20Tint%22%201990s%20Vuarnet%20Sunglasses","NEEDS TAGGING","style:rectangle | vibe:retro | vibe:luxury | vibe:edgy | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
""Crystal Minimal" 1990s Jil Sander Eyeglasses","https://azyrspecs.com/products/crystal-minimal-1990s-jil-sander-eyeglasses","https://azyrspecs.com/admin/search?q=%22Crystal%20Minimal%22%201990s%20Jil%20Sander%20Eyeglasses","NEEDS TAGGING","vibe:retro | vibe:modern | vibe:luxury | vibe:classic | face_shape:oval | face_shape:round | face_shape:heart"
""Slate Vision" 1990s Scooter Sunglasses","https://azyrspecs.com/products/slate-vision-1990s-scooter-brand-sunglasses","https://azyrspecs.com/admin/search?q=%22Slate%20Vision%22%201990s%20Scooter%20Sunglasses","NEEDS TAGGING","vibe:retro | vibe:modern | vibe:luxury | vibe:edgy | face_shape:oval | face_shape:heart | face_shape:square"
""Violet Plaid" 1990s Gianfranco Ferre Sunglasses","https://azyrspecs.com/products/violet-plaid-1990s-gianfranco-ferre-sunglasses","https://azyrspecs.com/admin/search?q=%22Violet%20Plaid%22%201990s%20Gianfranco%20Ferre%20Sunglasses","NEEDS TAGGING","style:rectangle | vibe:retro | vibe:luxury | vibe:trendy | face_shape:oval | face_shape:round | face_shape:heart"
""Sapphire Tone" 1990s Nero Sunglasses","https://azyrspecs.com/products/sapphire-tone-1990s-nero-sunglasses","https://azyrspecs.com/admin/search?q=%22Sapphire%20Tone%22%201990s%20Nero%20Sunglasses","NEEDS TAGGING","style:square | material:acetate | vibe:retro | vibe:modern | vibe:luxury | vibe:edgy | vibe:trendy | face_shape:oval | face_shape:round | face_shape:heart"
""Nostalgia" 1990s Kappa Sunglasses","https://azyrspecs.com/products/azure-round-1990s-kappa-sunglasses","https://azyrspecs.com/admin/search?q=%22Nostalgia%22%201990s%20Kappa%20Sunglasses","NEEDS TAGGING","vibe:retro | vibe:luxury | vibe:trendy | vibe:athletic | face_shape:square | face_shape:heart | face_shape:oval"
""Iridescent Horizon" 1980s Robert Rudger Sunglasses","https://azyrspecs.com/products/iridescent-horizon-1980s-robert-rudger-sunglasses","https://azyrspecs.com/admin/search?q=%22Iridescent%20Horizon%22%201980s%20Robert%20Rudger%20Sunglasses","NEEDS TAGGING","material:wire | vibe:retro | vibe:luxury | vibe:edgy | lens:tinted | face_shape:oval | face_shape:round | face_shape:heart"
""Rose Aura" 1990s Matsuda Sunglasses","https://azyrspecs.com/products/rose-aura-1990s-matsuda-sunglasses","https://azyrspecs.com/admin/search?q=%22Rose%20Aura%22%201990s%20Matsuda%20Sunglasses","NEEDS TAGGING","vibe:retro | vibe:luxury | face_shape:oval | face_shape:heart | face_shape:square"
""Crimson Flair" 1990s O-Six Sunglasses","https://azyrspecs.com/products/crimson-flair-1990s-o-six-sunglasses","https://azyrspecs.com/admin/search?q=%22Crimson%20Flair%22%201990s%20O-Six%20Sunglasses","NEEDS TAGGING","style:square | vibe:retro | vibe:luxury | vibe:edgy | face_shape:oval | face_shape:round | face_shape:heart"
