ticker,v,vw,o,c,h,l,t,n,dollar_volume,daily_range,close_position,date,v_ua,vw_ua,o_ua,c_ua,h_ua,l_ua,t_ua,n_ua,dollar_volume_ua,daily_range_ua,close_position_ua,c1,v1,h1,l1,dol_v1,v_avg5,v_avg10,v_avg20,v_surge_5,v_surge_20,price_change,high_change,pdc,high_low,high_pdc,low_pdc,true_range,atr,high_chg,high_chg_atr,high_pct_chg,ema9,ema20,ema50,dist_h_9ema_atr,dist_h_20ema_atr,highest_high_20,lc_optimized
LUMN,39368789.0,8.9567,8.62,9.36,9.4,8.38,1761595200000,131234.0,368491865.03999996,1.0199999999999996,0.9607843137254892,2025-10-27,39368789.0,8.9567,8.62,9.36,9.4,8.38,1761595200000,131234.0,368491865.03999996,1.0199999999999996,0.9607843137254892,8.09,24337854.0,8.4,7.955,196893238.85999998,22114313.8,16229345.0,14867829.1,1.7802401356898534,2.647917778393081,0.15698393077873907,0.16192830655129797,8.09,1.0199999999999996,1.3100000000000005,0.2900000000000009,1.3100000000000005,0.45079285714285733,0.7800000000000011,1.7302847364167913,0.16192830655129797,7.738626425942005,7.139879142643843,6.241131197174404,3.685447867536867,5.013657207616135,9.4,1
NOK,377988452.0,7.7152,6.42,7.77,8.19,6.4,1761681600000,606615.0,2936970272.04,1.7899999999999991,0.76536312849162,2025-10-28,377988452.0,7.7152,6.42,7.77,8.19,6.4,1761681600000,606615.0,2936970272.04,1.7899999999999991,0.76536312849162,6.36,41245801.0,6.4399,6.3301,262323294.36,134453096.0,88173594.9,63895673.85,2.811303445180615,5.915712742733677,0.22169811320754707,0.28773584905660354,6.36,1.7899999999999991,1.8299999999999992,0.040000000000000036,1.8299999999999992,0.19035000000000002,1.7699999999999996,9.298660362490146,0.28773584905660354,6.267219583468393,5.7470428558685605,5.18719595809925,10.101289290946188,12.83402754994189,8.19,1
PUMP,25627018.0,10.3354,9.0,11.1,11.28,8.55,1761768000000,157102.0,284459899.8,2.7299999999999986,0.9340659340659342,2025-10-29,25627018.0,10.3354,9.0,11.1,11.28,8.55,1761768000000,157102.0,284459899.8,2.7299999999999986,0.9340659340659342,7.3,4708311.0,7.4,6.91,34370670.3,7608666.0,5192271.3,3443999.5,3.3681354918194595,7.441063217343673,0.5205479452054795,0.5452054794520547,7.3,2.7299999999999986,3.9799999999999995,1.2500000000000009,3.9799999999999995,0.42928571428571427,2.2799999999999994,5.311148086522461,0.5452054794520547,7.304438167515358,6.370279492786599,5.808083435422158,9.260876148882693,11.436952928616906,11.28,1
QCOM,81799012.0,191.9506,168.95,187.68,205.95,168.82,1761595200000,1195869.0,15352038572.16,37.129999999999995,0.5079450579046597,2025-10-27,81799012.0,191.9506,168.95,187.68,205.95,168.82,1761595200000,1195869.0,15352038572.16,37.129999999999995,0.5079450579046597,168.94,6255987.0,172.42,168.47,1056886443.78,22172254.4,14558449.3,11187089.75,3.689251012743206,7.3119116613862865,0.11092695631585192,0.21907185983189303,168.94,37.129999999999995,37.00999999999999,0.12000000000000455,37.129999999999995,4.508142857142862,37.0,8.207370789365267,0.21907185983189303,171.5365999005934,168.4932770260933,164.61596095472726,7.633609046989446,8.308681459496992,205.95,1
SNDK,9364883.0,195.9559,186.67,204.36,205.64,181.51,1761768000000,127342.0,1913807489.88,24.129999999999995,0.9469539991711574,2025-10-29,9364883.0,195.9559,186.67,204.36,205.64,181.51,1761768000000,127342.0,1913807489.88,24.129999999999995,0.9469539991711574,175.53,9140834.0,178.82,164.56,1604490592.02,9881084.4,8229564.9,8072168.95,0.9477586285974847,1.160144573039443,0.16424542813194343,0.1715376288953454,175.53,24.129999999999995,30.109999999999985,5.97999999999999,30.109999999999985,13.401600000000002,18.97,1.4155026265520532,0.1715376288953454,167.29569663126813,144.68350909143453,109.26796767921961,2.8611735441090507,4.548448760488706,205.64,1
STX,9900845.0,260.5395,240.515,265.62,268.91,240.06,1761768000000,161417.0,2629862448.9,28.850000000000023,0.8859618717504326,2025-10-29,9900845.0,260.5395,240.515,265.62,268.91,240.06,1761768000000,161417.0,2629862448.9,28.850000000000023,0.8859618717504326,223.0,6500953.0,230.0,217.67,1449712519.0,5515546.4,4637765.7,4919432.0,1.7950796316390338,2.012599218771598,0.19112107623318386,0.20587443946188344,223.0,28.850000000000023,45.910000000000025,17.060000000000002,45.910000000000025,11.697465499999998,28.39500000000004,2.4274489204520453,0.20587443946188344,232.75547009410832,226.78712580080537,210.09731249948968,3.090800302500718,3.601025726401558,268.91,1
TER,12203768.0,171.1097,170.01,173.94,177.24,162.16,1761768000000,193302.0,2122723405.92,15.080000000000013,0.7811671087533151,2025-10-29,12203768.0,171.1097,170.01,173.94,177.24,162.16,1761768000000,193302.0,2122723405.92,15.080000000000013,0.7811671087533151,144.38,5016831.0,147.62,144.11,724330059.78,5211066.0,3820738.4,3543446.8,2.3418947294085317,3.4440387252321667,0.20473749826845822,0.22759384956365158,144.38,15.080000000000013,32.860000000000014,17.78,32.860000000000014,5.3576500000000005,7.230000000000018,1.3494722499603404,0.22759384956365158,149.3250755600831,143.10463134385589,131.29779644004333,5.210292654413206,6.371332329686359,177.24,1
W,17480216.0,104.7921,98.5,106.52,108.44,96.5,1761681600000,228856.0,1861992608.32,11.939999999999998,0.8391959798994973,2025-10-28,17480216.0,104.7921,98.5,106.52,108.44,96.5,1761681600000,228856.0,1861992608.32,11.939999999999998,0.8391959798994973,86.45,6017829.0,87.755,85.0,520241317.05,6294896.2,4428699.4,3851016.65,2.776887091482144,4.539117222461243,0.23215731636784254,0.2543666859456333,86.45,11.939999999999998,21.989999999999995,10.049999999999997,21.989999999999995,3.8540214285714276,9.939999999999998,2.579124217190578,0.2543666859456333,87.82456316941192,85.32996085929311,81.48073562147275,5.349071667779911,5.996344226158882,108.44,1
WDC,18267279.0,140.5362,131.43,141.38,145.68,131.25,1761768000000,207351.0,2582627905.02,14.430000000000007,0.7020097020097014,2025-10-29,18267279.0,140.5362,131.43,141.38,145.68,131.25,1761768000000,207351.0,2582627905.02,14.430000000000007,0.7020097020097014,124.92,7031914.0,126.82,121.85,878426696.88,9271676.8,9090577.1,9403051.05,1.970223875793427,1.9426969930148363,0.13176432917066916,0.16618635926993286,124.92,14.430000000000007,20.760000000000005,6.329999999999998,20.760000000000005,7.004700000000001,14.25,2.034348366097049,0.16618635926993286,127.75118069672331,122.81984857195314,109.9490222932913,2.5595413512751004,3.263544681149351,145.68,1
WULF,114841851.0,16.2845,14.64,15.94,17.05,14.63,1761681600000,459177.0,1830579104.94,2.42,0.5413223140495863,2025-10-28,114841851.0,16.2845,14.64,15.94,17.05,14.63,1761681600000,459177.0,1830579104.94,2.42,0.5413223140495863,13.64,17819506.0,14.22,13.47,243058061.84,44289352.4,38611566.6,40102464.9,2.5929900704531414,2.863710529673701,0.16862170087976525,0.25,13.64,2.42,3.41,0.9900000000000002,3.41,1.45015,2.41,1.6618970451332622,0.25,13.9918416093596,13.20467284644602,11.249742296499603,2.108856594587043,2.6516754498182817,17.05,1
